uf;2001-01-01;15.771,44
uf;2001-01-02;15.772,97
uf;2001-01-03;15.774,49
uf;2001-01-04;15.776,02
uf;2001-01-05;15.777,54
uf;2001-01-06;15.779,06
uf;2001-01-07;15.780,59
uf;2001-01-08;15.782,11
uf;2001-01-09;15.783,64
uf;2001-01-10;15.784,15
uf;2001-01-11;15.784,66
uf;2001-01-12;15.785,17
uf;2001-01-13;15.785,68
uf;2001-01-14;15.786,18
uf;2001-01-15;15.786,69
uf;2001-01-16;15.787,20
uf;2001-01-17;15.787,71
uf;2001-01-18;15.788,22
uf;2001-01-19;15.788,73
uf;2001-01-20;15.789,24
uf;2001-01-21;15.789,75
uf;2001-01-22;15.790,26
uf;2001-01-23;15.790,77
uf;2001-01-24;15.791,28
uf;2001-01-25;15.791,78
uf;2001-01-26;15.792,29
uf;2001-01-27;15.792,80
uf;2001-01-28;15.793,31
uf;2001-01-29;15.793,82
uf;2001-01-30;15.794,33
uf;2001-01-31;15.794,84
uf;2001-02-01;15.795,35
uf;2001-02-02;15.795,86
uf;2001-02-03;15.796,37
uf;2001-02-04;15.796,88
uf;2001-02-05;15.797,39
uf;2001-02-06;15.797,90
uf;2001-02-07;15.798,40
uf;2001-02-08;15.798,91
uf;2001-02-09;15.799,42
uf;2001-02-10;15.801,11
uf;2001-02-11;15.802,80
uf;2001-02-12;15.804,49
uf;2001-02-13;15.806,18
uf;2001-02-14;15.807,87
uf;2001-02-15;15.809,56
uf;2001-02-16;15.811,26
uf;2001-02-17;15.812,95
uf;2001-02-18;15.814,64
uf;2001-02-19;15.816,33
uf;2001-02-20;15.818,02
uf;2001-02-21;15.819,72
uf;2001-02-22;15.821,41
uf;2001-02-23;15.823,10
uf;2001-02-24;15.824,79
uf;2001-02-25;15.826,49
uf;2001-02-26;15.828,18
uf;2001-02-27;15.829,87
uf;2001-02-28;15.831,57
uf;2001-03-01;15.833,26
uf;2001-03-02;15.834,96
uf;2001-03-03;15.836,65
uf;2001-03-04;15.838,34
uf;2001-03-05;15.840,04
uf;2001-03-06;15.841,73
uf;2001-03-07;15.843,43
uf;2001-03-08;15.845,12
uf;2001-03-09;15.846,82
uf;2001-03-10;15.845,28
uf;2001-03-11;15.843,75
uf;2001-03-12;15.842,21
uf;2001-03-13;15.840,68
uf;2001-03-14;15.839,14
uf;2001-03-15;15.837,61
uf;2001-03-16;15.836,07
uf;2001-03-17;15.834,54
uf;2001-03-18;15.833,00
uf;2001-03-19;15.831,47
uf;2001-03-20;15.829,93
uf;2001-03-21;15.828,40
uf;2001-03-22;15.826,87
uf;2001-03-23;15.825,33
uf;2001-03-24;15.823,80
uf;2001-03-25;15.822,27
uf;2001-03-26;15.820,73
uf;2001-03-27;15.819,20
uf;2001-03-28;15.817,67
uf;2001-03-29;15.816,13
uf;2001-03-30;15.814,60
uf;2001-03-31;15.813,07
uf;2001-04-01;15.811,53
uf;2001-04-02;15.810,00
uf;2001-04-03;15.808,47
uf;2001-04-04;15.806,94
uf;2001-04-05;15.805,41
uf;2001-04-06;15.803,87
uf;2001-04-07;15.802,34
uf;2001-04-08;15.800,81
uf;2001-04-09;15.799,28
uf;2001-04-10;15.801,91
uf;2001-04-11;15.804,53
uf;2001-04-12;15.807,16
uf;2001-04-13;15.809,79
uf;2001-04-14;15.812,42
uf;2001-04-15;15.815,05
uf;2001-04-16;15.817,68
uf;2001-04-17;15.820,31
uf;2001-04-18;15.822,94
uf;2001-04-19;15.825,57
uf;2001-04-20;15.828,20
uf;2001-04-21;15.830,83
uf;2001-04-22;15.833,46
uf;2001-04-23;15.836,10
uf;2001-04-24;15.838,73
uf;2001-04-25;15.841,36
uf;2001-04-26;15.844,00
uf;2001-04-27;15.846,63
uf;2001-04-28;15.849,27
uf;2001-04-29;15.851,90
uf;2001-04-30;15.854,54
uf;2001-05-01;15.857,17
uf;2001-05-02;15.859,81
uf;2001-05-03;15.862,45
uf;2001-05-04;15.865,08
uf;2001-05-05;15.867,72
uf;2001-05-06;15.870,36
uf;2001-05-07;15.873,00
uf;2001-05-08;15.875,64
uf;2001-05-09;15.878,28
uf;2001-05-10;15.880,83
uf;2001-05-11;15.883,39
uf;2001-05-12;15.885,95
uf;2001-05-13;15.888,50
uf;2001-05-14;15.891,06
uf;2001-05-15;15.893,62
uf;2001-05-16;15.896,17
uf;2001-05-17;15.898,73
uf;2001-05-18;15.901,29
uf;2001-05-19;15.903,85
uf;2001-05-20;15.906,41
uf;2001-05-21;15.908,97
uf;2001-05-22;15.911,52
uf;2001-05-23;15.914,09
uf;2001-05-24;15.916,65
uf;2001-05-25;15.919,21
uf;2001-05-26;15.921,77
uf;2001-05-27;15.924,33
uf;2001-05-28;15.926,89
uf;2001-05-29;15.929,45
uf;2001-05-30;15.932,02
uf;2001-05-31;15.934,58
uf;2001-06-01;15.937,15
uf;2001-06-02;15.939,71
uf;2001-06-03;15.942,27
uf;2001-06-04;15.944,84
uf;2001-06-05;15.947,41
uf;2001-06-06;15.949,97
uf;2001-06-07;15.952,54
uf;2001-06-08;15.955,10
uf;2001-06-09;15.957,67
uf;2001-06-10;15.959,79
uf;2001-06-11;15.961,92
uf;2001-06-12;15.964,04
uf;2001-06-13;15.966,17
uf;2001-06-14;15.968,29
uf;2001-06-15;15.970,42
uf;2001-06-16;15.972,54
uf;2001-06-17;15.974,67
uf;2001-06-18;15.976,79
uf;2001-06-19;15.978,92
uf;2001-06-20;15.981,05
uf;2001-06-21;15.983,17
uf;2001-06-22;15.985,30
uf;2001-06-23;15.987,43
uf;2001-06-24;15.989,55
uf;2001-06-25;15.991,68
uf;2001-06-26;15.993,81
uf;2001-06-27;15.995,94
uf;2001-06-28;15.998,07
uf;2001-06-29;16.000,20
uf;2001-06-30;16.002,32
uf;2001-07-01;16.004,45
uf;2001-07-02;16.006,58
uf;2001-07-03;16.008,71
uf;2001-07-04;16.010,84
uf;2001-07-05;16.012,98
uf;2001-07-06;16.015,11
uf;2001-07-07;16.017,24
uf;2001-07-08;16.019,37
uf;2001-07-09;16.021,50
uf;2001-07-10;16.022,02
uf;2001-07-11;16.022,53
uf;2001-07-12;16.023,05
uf;2001-07-13;16.023,57
uf;2001-07-14;16.024,08
uf;2001-07-15;16.024,60
uf;2001-07-16;16.025,12
uf;2001-07-17;16.025,63
uf;2001-07-18;16.026,15
uf;2001-07-19;16.026,67
uf;2001-07-20;16.027,18
uf;2001-07-21;16.027,70
uf;2001-07-22;16.028,22
uf;2001-07-23;16.028,73
uf;2001-07-24;16.029,25
uf;2001-07-25;16.029,77
uf;2001-07-26;16.030,28
uf;2001-07-27;16.030,80
uf;2001-07-28;16.031,32
uf;2001-07-29;16.031,83
uf;2001-07-30;16.032,35
uf;2001-07-31;16.032,87
uf;2001-08-01;16.033,39
uf;2001-08-02;16.033,90
uf;2001-08-03;16.034,42
uf;2001-08-04;16.034,94
uf;2001-08-05;16.035,45
uf;2001-08-06;16.035,97
uf;2001-08-07;16.036,49
uf;2001-08-08;16.037,00
uf;2001-08-09;16.037,52
uf;2001-08-10;16.036,48
uf;2001-08-11;16.035,45
uf;2001-08-12;16.034,41
uf;2001-08-13;16.033,38
uf;2001-08-14;16.032,34
uf;2001-08-15;16.031,31
uf;2001-08-16;16.030,27
